response,context,context_2,context_3,context_4,context_5,context_6,context_7
"'Border' became red for me as well but there was no red underline. I changed the table border to different values (ex: changing it to 2 instead of 1) to see if it would make a difference and it did. Like others have mentioned, it may just be syntax. ","I ran into this error as well. Capitalize the ""B"" in border. So instead of <table border=""1""> write it as <table Border=""1"">. This will cause the red line to go away and your code should run just fine. Also reading the thread perhaps using <table borders=""1"">will do the trick as well. I hope this helps.","Gyu, this is also what I found. I'm sure we will cover this when we learn CSS.","Following up on this, I wonder if it actually may be an issue? I ran my code through validator.w3.org and got an error that the attribute ""border"" is obsolete.","Yes, it's the color theme highlighting different types of keywords in your code. If there is a syntax error, VS Code will either highlight the line of code in a dark red color or add a red wavy underline (depending on the language). ","I have the same color, I believe it's just a syntax format of the Visual Studio as well. If your web page has borders, then the code it's working. ","I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong."
"I ran into this error as well. Capitalize the ""B"" in border. So instead of <table border=""1""> write it as <table Border=""1"">. This will cause the red line to go away and your code should run just fine. Also reading the thread perhaps using <table borders=""1"">will do the trick as well. I hope this helps.","Gyu, this is also what I found. I'm sure we will cover this when we learn CSS.","Following up on this, I wonder if it actually may be an issue? I ran my code through validator.w3.org and got an error that the attribute ""border"" is obsolete.","Yes, it's the color theme highlighting different types of keywords in your code. If there is a syntax error, VS Code will either highlight the line of code in a dark red color or add a red wavy underline (depending on the language). ","I have the same color, I believe it's just a syntax format of the Visual Studio as well. If your web page has borders, then the code it's working. ","I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong.",
"Gyu, this is also what I found. I'm sure we will cover this when we learn CSS.","Following up on this, I wonder if it actually may be an issue? I ran my code through validator.w3.org and got an error that the attribute ""border"" is obsolete.","Yes, it's the color theme highlighting different types of keywords in your code. If there is a syntax error, VS Code will either highlight the line of code in a dark red color or add a red wavy underline (depending on the language). ","I have the same color, I believe it's just a syntax format of the Visual Studio as well. If your web page has borders, then the code it's working. ","I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong.",,
"Following up on this, I wonder if it actually may be an issue? I ran my code through validator.w3.org and got an error that the attribute ""border"" is obsolete.","Yes, it's the color theme highlighting different types of keywords in your code. If there is a syntax error, VS Code will either highlight the line of code in a dark red color or add a red wavy underline (depending on the language). ","I have the same color, I believe it's just a syntax format of the Visual Studio as well. If your web page has borders, then the code it's working. ","I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong.",,,
"Yes, it's the color theme highlighting different types of keywords in your code. If there is a syntax error, VS Code will either highlight the line of code in a dark red color or add a red wavy underline (depending on the language). ","I have the same color, I believe it's just a syntax format of the Visual Studio as well. If your web page has borders, then the code it's working. ","I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong.",,,,
"I have the same color, I believe it's just a syntax format of the Visual Studio as well. If your web page has borders, then the code it's working. ","I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong.",,,,,
"I think that is just the syntax highlighting of Visual Studio Code. The word ""border"" becomes red to distinguish it as an attribute. As long as your web page looks fine and has everything it needs, nothing should be wrong!","When I set the table border to one, the word border becomes highlighted in red. I don't know why and the code is working but I am wondering if I am doing something wrong.",,,,,,
"I think ""&3169"" also woks.","Did not know this, thanks for the tip!","I'm not sure if its just me, but when I did ctrl + G on windows it wasn't a shortcut for the copyright symbol. However, it did bring up a text box that allowed you to type in a line number to be taken to it which could also be pretty helpful.","If you want a shortcut for the copyright symbol ""command G"" works for mac. Im guessing it'll be ""ctrl G"" for windows. ",,,,
"Did not know this, thanks for the tip!","I'm not sure if its just me, but when I did ctrl + G on windows it wasn't a shortcut for the copyright symbol. However, it did bring up a text box that allowed you to type in a line number to be taken to it which could also be pretty helpful.","If you want a shortcut for the copyright symbol ""command G"" works for mac. Im guessing it'll be ""ctrl G"" for windows. ",,,,,
"I'm not sure if its just me, but when I did ctrl + G on windows it wasn't a shortcut for the copyright symbol. However, it did bring up a text box that allowed you to type in a line number to be taken to it which could also be pretty helpful.","If you want a shortcut for the copyright symbol ""command G"" works for mac. Im guessing it'll be ""ctrl G"" for windows. ",,,,,,
